Exercice_number,Category_number,Used_pattern
0,0,"[3, 2, 6, 5, 8, 9, 12]"
0,1,"[5, 1, 2]"
0,2,"[7, 5, 6, 12]"
0,3,[4]
0,4,[1]
0,5,"[4, 2]"
0,6,"[4, 5]"
1,0,"[1, 4, 6, 5, 8, 10, 11]"
1,1,"[4, 3, 1]"
1,2,"[7, 5, 2, 11]"
1,3,[2]
1,4,[6]
1,5,"[4, 5]"
1,6,"[1, 21]"
2,0,"[3, 2, 5, 6, 8, 9, 12]"
2,1,"[3, 5, 1]"
2,2,"[5, 7, 2, 11]"
2,3,[1]
2,4,[4]
2,5,"[2, 1]"
2,6,"[8, 9]"
3,0,"[4, 2, 6, 5, 7, 10, 11]"
3,1,"[4, 2, 1]"
3,2,"[8, 7, 5, 12]"
3,3,[3]
3,4,[6]
3,5,"[3, 2]"
3,6,"[5, 7]"
4,0,"[2, 1, 6, 5, 8, 10, 12]"
4,1,"[6, 5, 3]"
4,2,"[8, 3, 4, 12]"
4,3,[2]
4,4,[3]
4,5,"[4, 5]"
4,6,"[15, 2]"
5,0,"[1, 4, 6, 5, 7, 9, 12]"
5,1,"[3, 6, 1]"
5,2,"[4, 1, 8, 11]"
5,3,[2]
5,4,[6]
5,5,"[3, 2]"
5,6,"[9, 5]"
6,0,"[2, 3, 6, 5, 7, 10, 12]"
6,1,"[5, 1, 2]"
6,2,"[2, 4, 7, 13]"
6,3,[1]
6,4,[4]
6,5,"[5, 3]"
6,6,"[5, 16]"
7,0,"[4, 3, 5, 6, 8, 9, 11]"
7,1,"[1, 4, 6]"
7,2,"[8, 5, 6, 10]"
7,3,[2]
7,4,[1]
7,5,"[2, 5]"
7,6,"[20, 15]"
8,0,"[4, 3, 6, 5, 7, 9, 12]"
8,1,"[4, 6, 3]"
8,2,"[3, 8, 4, 13]"
8,3,[4]
8,4,[4]
8,5,"[3, 2]"
8,6,"[7, 2]"
9,0,"[2, 1, 6, 5, 7, 10, 11]"
9,1,"[5, 3, 1]"
9,2,"[4, 8, 7, 13]"
9,3,[4]
9,4,[6]
9,5,"[1, 5]"
9,6,"[6, 1]"
10,0,"[2, 3, 6, 5, 7, 9, 11]"
10,1,"[3, 1, 4]"
10,2,"[3, 1, 8, 13]"
10,3,[2]
10,4,[4]
10,5,"[3, 2]"
10,6,"[10, 7]"
11,0,"[4, 2, 6, 5, 8, 9, 12]"
11,1,"[5, 4, 6]"
11,2,"[5, 3, 7, 11]"
11,3,[1]
11,4,[5]
11,5,"[1, 3]"
11,6,"[10, 21]"
12,0,"[2, 1, 6, 5, 7, 9, 11]"
12,1,"[5, 1, 4]"
12,2,"[8, 4, 2, 10]"
12,3,[3]
12,4,[7]
12,5,"[1, 5]"
12,6,"[1, 15]"
13,0,"[3, 1, 6, 5, 8, 9, 11]"
13,1,"[3, 6, 5]"
13,2,"[4, 2, 7, 13]"
13,3,[3]
13,4,[7]
13,5,"[5, 4]"
13,6,"[11, 5]"
14,0,"[3, 1, 5, 6, 7, 9, 11]"
14,1,"[4, 6, 3]"
14,2,"[2, 8, 7, 9]"
14,3,[2]
14,4,[4]
14,5,"[5, 3]"
14,6,"[4, 8]"
15,0,"[1, 2, 5, 6, 7, 10, 11]"
15,1,"[5, 1, 3]"
15,2,"[4, 2, 8, 13]"
15,3,[1]
15,4,[3]
15,5,"[2, 3]"
15,6,"[8, 7]"
16,0,"[2, 3, 5, 6, 8, 10, 12]"
16,1,"[4, 6, 2]"
16,2,"[4, 7, 3, 11]"
16,3,[4]
16,4,[2]
16,5,"[3, 2]"
16,6,"[10, 2]"
17,0,"[3, 1, 6, 5, 8, 10, 11]"
17,1,"[4, 2, 3]"
17,2,"[3, 2, 7, 9]"
17,3,[4]
17,4,[3]
17,5,"[2, 1]"
17,6,"[15, 10]"
18,0,"[3, 4, 5, 6, 7, 9, 11]"
18,1,"[5, 6, 4]"
18,2,"[6, 3, 2, 10]"
18,3,[2]
18,4,[6]
18,5,"[4, 5]"
18,6,"[10, 16]"
19,0,"[4, 3, 5, 6, 7, 9, 11]"
19,1,"[1, 5, 4]"
19,2,"[6, 7, 8, 9]"
19,3,[4]
19,4,[5]
19,5,"[1, 2]"
19,6,"[16, 7]"
20,0,"[1, 4, 6, 5, 8, 10, 11]"
20,1,"[2, 4, 5]"
20,2,"[7, 5, 2, 9]"
20,3,[3]
20,4,[6]
20,5,"[2, 5]"
20,6,"[1, 8]"
21,0,"[1, 4, 6, 5, 7, 9, 12]"
21,1,"[4, 6, 1]"
21,2,"[8, 3, 6, 12]"
21,3,[4]
21,4,[4]
21,5,"[4, 3]"
21,6,"[16, 8]"
22,0,"[3, 4, 5, 6, 8, 10, 11]"
22,1,"[3, 4, 5]"
22,2,"[2, 3, 4, 13]"
22,3,[2]
22,4,[6]
22,5,"[1, 3]"
